Kinvent Physio 2.23.0_ota_4,Version BLE : 5,Appareils: ,S121577 (FW 3.022) (125 Hz),M122648 (FW 3.022) (500 Hz),S121578 (FW 3.022) (125 Hz)
Legacy RMS
K-Move (S121578) Quaternion de base (x-y-z-w),-0.576,-0.184,0.255,0.755
K-Move (S121577) Quaternion de base (x-y-z-w),-0.385,0.520,-0.705,0.289
,K-Move (S121578),,,,,K-Move (S121577),,,
temps (seconde),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
0.912,-0.579362907150017,-0.181462908023283,0.240943434047060,0.757163597049722,,-0.403325616377544,0.518317362935549,-0.699380534997290,0.281986130094470,
0.92,-0.579447638869711,-0.181338698591869,0.240910078539922,0.757154680589748,,-0.403570874653058,0.517952577481223,-0.699443502432958,0.282139499105227,
0.928,-0.579539058305359,-0.181216583897695,0.240879504328815,0.757123986176812,,-0.403816088778449,0.517587731687009,-0.699506391391387,0.282292837152408,
0.936,-0.579637693358602,-0.181127242146228,0.240821409903266,0.757072198133357,,-0.404064416092745,0.517287904287917,-0.699544149975672,0.282356795898042,
0.944,-0.579701033647287,-0.181097443204159,0.240761329531111,0.757044687583817,,-0.404341039775473,0.517015741175658,-0.699578055307809,0.282358162880419,
0.952,-0.579789762008726,-0.181066041583207,0.240699118484199,0.757010477241101,,-0.404676032484285,0.516709646002370,-0.699637861591419,0.282296628995447,
0.96,-0.579910569832653,-0.181035127894290,0.240637556211476,0.756947787788616,,-0.405040738605116,0.516402526969347,-0.699696278933054,0.282204016718016,
0.968,-0.579975502908327,-0.180975306895726,0.240578135625465,0.756922354406037,,-0.405434853555708,0.516063483148439,-0.699752785636343,0.282141153264774,
0.976,-0.580006980923268,-0.180853531647003,0.240486977620382,0.756954125116538,,-0.405891304084868,0.515665065046768,-0.699811540900009,0.282079197267401,
0.984,-0.580033350576294,-0.180699645836169,0.240393702119829,0.757009747503155,,-0.406350866341429,0.515240080844336,-0.699875660368606,0.282019403369218,
0.992,-0.580068008502400,-0.180517823448819,0.240303861679797,0.757045668380625,,-0.406780609081310,0.514815972285439,-0.699940976013192,0.281990609041286,
1,-0.580128037020670,-0.180334397956502,0.240211888020921,0.757074870554567,,-0.407295695159244,0.514353487652772,-0.699995606164212,0.281988028118643,
1.008,-0.580182734591284,-0.180210354413841,0.240148226737090,0.757097116392645,,-0.407903317853457,0.513892261659013,-0.699990902409453,0.281986133245993,
1.016,-0.580276745192243,-0.180119561908311,0.240057687897454,0.757069802144944,,-0.408548677750935,0.513470643397288,-0.699907027380291,0.281989227042552,
1.024,-0.580368620914402,-0.180028106156284,0.239996783660454,0.757039701866891,,-0.409372494952123,0.512982128198169,-0.699784651055031,0.281989104917073,
1.032,-0.580456773482323,-0.179966014365156,0.239964858564222,0.757004745858519,,-0.410317253413814,0.512461682359596,-0.699629827780713,0.281957687191538,
1.04,-0.580553219420926,-0.179875975149395,0.239936361829749,0.756950086805301,,-0.411262093566404,0.511971867146779,-0.699475154685513,0.281865293572225,
1.048,-0.580642421882477,-0.179753172757689,0.239935389511197,0.756916500973888,,-0.412179672329569,0.511486103083339,-0.699356535695573,0.281683575862722,
1.056,-0.580729489902335,-0.179629711365029,0.239964053765414,0.756880134482516,,-0.413099728344877,0.511003387367511,-0.699272611965586,0.281381463899215,
1.064,-0.580791178515811,-0.179507840472387,0.239994841461213,0.756850466459572,,-0.413955225277311,0.510546812419945,-0.699243742373470,0.281015903446880,
1.072,-0.580854989017014,-0.179386624570063,0.239995987686113,0.756823562897753,,-0.414688056863957,0.510150541546799,-0.699244389083528,0.280649938984468,
1.08,-0.580891297385002,-0.179266338175870,0.240028898493908,0.756800588029489,,-0.415446276143852,0.509778490906259,-0.699266915836633,0.280188956238647,
